Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Sh p.90,SoT p.90,xG,npxG
Vladimír Coufal,cz CZE,DF,West Ham,30-260,1992,21.7,0,6,0,0.0,00.28,00.00,0.3,0.3
Philippe Coutinho,br BRA,MFFW,Aston Villa,30-331,1992,8.8,1,21,8,38.1,02.40,01.31,1.4,1.4
Conor Coventry,ie IRL,MFFW,West Ham,23-045,2000,0.0,0,0,0,,00.00,00.00,0.0,0.0
Aaron Cresswell,eng ENG,DF,West Ham,33-145,1989,24.1,0,9,1,11.1,00.37,00.04,0.3,0.3
Marc Cucurella,es ESP,DF,Chelsea,24-291,1998,18.6,0,7,0,0.0,00.38,00.00,0.4,0.4
Matheus Cunha,br BRA,FW,Wolves,23-347,1999,10.0,2,26,7,26.9,02.59,01.10,2.0,2.0
Patson Daka,zm ZAM,FW,Leicester City,24-212,1998,12.5,4,30,16,53.3,02.39,01.28,3.5,3.5
Diogo Dalot,pt POR,DF,Manchester Utd,24-052,1999,22.9,1,21,6,28.6,01.32,00.26,2.4,2.4
Mikkel Damsgaard,dk DEN,MFFW,Brentford,22-310,2000,8.9,0,8,5,62.5,01.30,00.56,1.5,1.5
Danilo,br BRA,MF,Nott'ham Forest,22-010,2001,9.1,3,13,4,30.8,01.44,00.44,1.4,1.4
Arnaut Danjuma,nl NED,FWMF,Tottenham,26-098,1997,1.0,1,4,3,75.0,04.23,03.27,0.6,0.6
Josh Dasilva,eng ENG,MF,Brentford,24-198,1998,15.0,4,17,6,35.3,01.13,00.40,1.5,1.5
Ben Davies,wls WAL,DF,Tottenham,30-015,1993,22.5,2,14,5,35.7,01.02,00.22,1.0,1.0
Tom Davies,eng ENG,MF,Everton,24-313,1998,6.0,0,9,2,22.2,01.51,00.33,1.2,1.2
Craig Dawson,eng ENG,DF,West Ham,33-003,1990,8.0,0,6,1,16.7,01.15,00.12,0.5,0.5
Craig Dawson,eng ENG,DF,Wolves,33-003,1990,13.7,1,10,2,20.0,01.13,00.15,0.9,0.9
Kevin De Bruyne,be BEL,MF,Manchester City,31-315,1991,26.1,7,65,21,32.3,02.49,01.20,5.6,5.6
Siriki Dembélé,ci CIV,FWMF,Bournemouth,26-244,1996,1.2,0,2,2,100.0,02.04,02.04,0.2,0.2
Leander Dendoncker,be BEL,MF,Aston Villa,28-024,1995,7.7,0,2,0,0.0,00.26,00.00,0.1,0.1
Leander Dendoncker,be BEL,MF,Wolves,28-024,1995,2.4,0,3,2,66.7,01.26,01.24,0.7,0.7
Emmanuel Dennis,ng NGA,FWMF,Nott'ham Forest,25-175,1997,7.8,2,20,6,30.0,02.57,01.17,1.8,1.8
Halil Dervi?o?lu,tr TUR,MF,Brentford,23-152,1999,0.1,0,1,0,0.0,11.25,00.00,0.0,0.0
Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,24-245,1998,24.8,2,25,6,24.0,01.01,00.24,2.3,2.3
Ibrahima Diallo,fr FRA,MF,Southampton,24-062,1999,9.1,0,6,0,0.0,01.06,00.00,0.2,0.2
Rúben Dias,pt POR,DF,Manchester City,25-360,1997,21.2,0,10,2,20.0,00.47,00.09,1.3,1.3
Luis Díaz,co COL,FW,Liverpool,26-116,1997,9.1,4,21,8,38.1,02.31,01.28,2.2,2.2
Eric Dier,eng ENG,DF,Tottenham,29-114,1994,31.3,2,17,4,23.5,00.54,00.13,1.6,1.6
Lucas Digne,fr FRA,DF,Aston Villa,29-293,1993,15.1,1,7,3,42.9,00.46,00.20,0.3,0.3
Issa Diop,fr FRA,DF,Fulham,26-120,1997,19.4,1,3,2,66.7,00.15,00.10,0.3,0.3
Moussa Djenepo,ml MLI,DFFW,Southampton,24-328,1998,7.7,0,3,2,66.7,00.39,00.26,0.2,0.2
Ben Doak,sct SCO,FW,Liverpool,17-179,2005,0.3,0,0,0,,00.00,00.00,0.0,0.0
