Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Sh p.90,SoT p.90,xG,npxG
Albert Sambi Lokonga,be BEL,MF,Crystal Palace,23-199,1999,6.0,0,2,1,50.0,00.34,00.17,0.2,0.2
Davinson Sánchez,co COL,DF,Tottenham,26-331,1996,7.5,0,4,2,50.0,00.53,00.27,0.3,0.3
Robert Sánchez,es ESP,GK,Brighton,25-172,1997,23.0,0,0,0,,00.00,00.00,0.0,0.0
Jadon Sancho,eng ENG,FWMF,Manchester Utd,23-045,2000,15.1,5,17,7,41.2,01.13,00.46,3.3,3.3
Morgan Sanson,fr FRA,MF,Aston Villa,28-264,1994,0.1,0,0,0,,00.00,00.00,0.0,0.0
Pablo Sarabia,es ESP,FWMF,Wolves,30-363,1992,7.7,1,18,5,27.8,02.33,01.05,2.9,2.9
Jeremy Sarmiento,ec ECU,MF,Brighton,20-327,2002,2.0,0,5,2,40.0,02.56,01.02,0.3,0.3
Gianluca Scamacca,it ITA,FW,West Ham,24-128,1999,10.3,3,30,10,33.3,03.32,01.37,2.5,2.5
Gustavo Scarpa,br BRA,MFFW,Nott'ham Forest,29-124,1994,2.0,0,7,1,14.3,03.48,00.50,0.3,0.3
Kevin Schade,de GER,FW,Brentford,21-163,2001,6.1,0,10,3,30.0,02.04,00.49,2.0,2.0
Fabian Schär,ch SUI,DF,Newcastle Utd,31-140,1991,31.6,1,46,11,23.9,01.45,00.35,4.2,4.2
Jeffrey Schlupp,gh GHA,MFFW,Crystal Palace,30-137,1992,28.1,3,28,9,32.1,01.00,00.32,3.2,3.2
Nélson Semedo,pt POR,DF,Wolves,29-174,1993,26.2,0,6,0,0.0,00.23,00.00,0.3,0.3
Antoine Semenyo,gh GHA,FWMF,Bournemouth,23-122,2000,2.9,1,3,1,33.3,01.05,00.35,0.3,0.3
Marcos Senesi,ar ARG,DF,Bournemouth,25-364,1997,25.7,2,6,2,33.3,00.23,00.08,1.5,1.5
Ryan Sessegnon,eng ENG,DF,Tottenham,22-356,2000,9.0,2,18,6,33.3,02.39,01.06,1.6,1.6
Luke Shaw,eng ENG,DF,Manchester Utd,27-301,1995,25.9,1,12,4,33.3,00.46,00.15,1.0,1.0
Jonjo Shelvey,eng ENG,MF,Newcastle Utd,31-071,1992,0.4,0,0,0,,00.00,00.00,0.0,0.0
Jonjo Shelvey,eng ENG,MF,Nott'ham Forest,31-071,1992,6.0,0,6,0,0.0,01.00,00.00,0.2,0.2
Bernardo Silva,pt POR,MFFW,Manchester City,28-272,1994,23.4,4,25,9,36.0,01.07,00.38,2.2,2.2
Thiago Silva,br BRA,DF,Chelsea,38-229,1984,23.1,0,14,2,14.3,01.01,00.09,1.3,1.3
Ellis Simms,eng ENG,FW,Everton,22-124,2001,2.5,1,8,1,12.5,03.21,00.40,0.9,0.9
Luis Sinisterra,co COL,FW,Leeds United,23-326,1999,9.6,5,28,11,39.3,03.31,01.14,3.7,3.7
Oliver Skipp,eng ENG,MF,Tottenham,22-235,2000,13.9,1,7,3,42.9,00.50,00.22,0.3,0.3
Adam Smith,eng ENG,DF,Bournemouth,32-010,1991,30.7,0,5,1,20.0,00.16,00.03,0.5,0.5
Emile Smith Rowe,eng ENG,MFFW,Arsenal,22-285,2000,1.6,0,4,1,25.0,02.54,01.03,0.3,0.3
Cédric Soares,pt POR,DF,Arsenal,31-251,1991,0.3,0,0,0,,00.00,00.00,0.0,0.0
Cédric Soares,pt POR,DF,Fulham,31-251,1991,2.2,0,2,0,0.0,01.31,00.00,0.1,0.1
Dominic Solanke,eng ENG,FW,Bournemouth,25-237,1997,28.8,6,70,27,38.6,02.43,01.34,8.7,8.7
Manor Solomon,il ISR,FW,Fulham,23-289,1999,5.8,4,8,5,62.5,01.38,01.26,1.1,1.1
Tomáš Sou?ek,cz CZE,MF,West Ham,28-071,1995,29.6,2,32,11,34.4,01.08,00.37,3.7,3.7
Boubakary Soumaré,fr FRA,MF,Leicester City,24-071,1999,15.1,0,1,0,0.0,00.07,00.00,0.0,0.0
Harry Souttar,au AUS,DF,Leicester City,24-199,1998,10.0,0,8,1,12.5,01.20,00.10,1.4,1.4
Ça?lar Söyüncü,tr TUR,DF,Leicester City,26-351,1996,5.9,1,5,2,40.0,01.25,00.34,0.4,0.4
Djed Spence,eng ENG,FWDF,Tottenham,22-273,2000,0.1,0,1,0,0.0,13.26,00.00,0.1,0.1
Jack Stacey,eng ENG,DF,Bournemouth,27-033,1996,3.3,0,1,0,0.0,00.30,00.00,0.1,0.1
Junior Stanislas,eng ENG,MF,Bournemouth,33-164,1989,0.7,0,1,0,0.0,01.48,00.00,0.0,0.0
Jay Stansfield,eng ENG,FW,Fulham,20-166,2002,1.0,0,2,0,0.0,02.07,00.00,0.3,0.3
Jason Steele,eng ENG,GK,Brighton,32-264,1990,10.0,0,0,0,,00.00,00.00,0.0,0.0
Jack Stephens,eng ENG,DF,Southampton,29-102,1994,0.5,0,0,0,,00.00,00.00,0.0,0.0
Jack Stephens,eng ENG,DF,Bournemouth,29-102,1994,13.0,0,2,1,50.0,00.15,00.08,0.4,0.4
Raheem Sterling,eng ENG,FWMF,Chelsea,28-152,1994,18.3,4,30,11,36.7,02.04,01.00,4.6,4.6
John Stones,eng ENG,DFMF,Manchester City,28-346,1994,19.2,2,11,3,27.3,00.57,00.16,1.0,1.0
Pascal Struijk,nl NED,DF,Leeds United,23-271,1999,22.9,2,14,7,50.0,01.01,00.31,1.3,1.3
Kamaldeen Sulemana,gh GHA,FWMF,Southampton,21-083,2002,9.2,0,18,4,22.2,02.35,00.43,1.0,1.0
Crysencio Summerville,nl NED,FW,Leeds United,21-191,2001,15.5,4,26,9,34.6,02.08,00.58,2.6,2.6
Sam Surridge,eng ENG,FW,Nott'ham Forest,24-285,1998,3.6,1,9,2,22.2,02.52,00.56,1.8,1.8
Japhet Tanganga,eng ENG,DF,Tottenham,24-039,1999,1.6,0,0,0,,00.00,00.00,0.0,0.0
Matt Targett,eng ENG,DF,Newcastle Utd,27-233,1995,5.9,0,1,0,0.0,00.17,00.00,0.0,0.0
James Tarkowski,eng ENG,DF,Everton,30-171,1992,35.0,1,27,8,29.6,01.17,00.23,2.5,2.5
Marcus Tavernier,eng ENG,MFFW,Bournemouth,24-048,1999,19.4,5,37,14,37.8,02.31,01.12,3.1,3.1
Tetê,br BRA,FW,Leicester City,23-083,2000,7.8,1,15,1,6.7,02.32,00.13,1.8,1.8
Kenny Tete,nl NED,DF,Fulham,27-212,1995,25.5,0,12,4,33.3,00.47,00.16,0.5,0.5
Luke Thomas,eng ENG,DF,Leicester City,21-333,2001,9.7,0,3,0,0.0,00.31,00.00,0.1,0.1
Youri Tielemans,be BEL,MF,Leicester City,26-002,1997,23.0,3,28,8,28.6,01.22,00.35,2.5,0.9
Kieran Tierney,sct SCO,DF,Arsenal,25-338,1997,7.4,0,6,2,33.3,01.21,00.27,0.3,0.3
Harry Toffolo,eng ENG,DF,Nott'ham Forest,27-263,1995,9.9,0,6,2,33.3,01.00,00.20,0.3,0.3
Takehiro Tomiyasu,jp JPN,DF,Arsenal,24-185,1998,7.4,0,3,0,0.0,00.41,00.00,0.2,0.2
James Tomkins,eng ENG,DF,Crystal Palace,34-041,1989,3.8,1,3,2,66.7,01.20,00.53,1.0,1.0
Ivan Toney,eng ENG,FW,Brentford,27-054,1996,32.8,20,87,33,37.9,03.05,01.01,18.7,13.2
Adama Traoré,es ESP,FWMF,Wolves,27-104,1996,14.5,2,17,6,35.3,01.18,00.41,1.2,1.2
Bertrand Traoré,bf BFA,FWMF,Aston Villa,27-245,1995,2.6,2,9,3,33.3,03.48,01.16,0.7,0.7
Boubacar Traoré,ml MLI,MF,Wolves,21-262,2001,4.3,0,3,0,0.0,01.10,00.00,0.1,0.1
Mark Travers,ie IRL,GK,Bournemouth,23-356,1999,10.5,0,0,0,,00.00,00.00,0.0,0.0
Kieran Trippier,eng ENG,DF,Newcastle Utd,32-232,1990,33.1,1,12,4,33.3,00.36,00.12,0.7,0.7
Leandro Trossard,be BEL,FW,Arsenal,28-156,1994,7.9,1,11,3,27.3,01.39,00.38,1.4,1.4
Leandro Trossard,be BEL,FWMF,Brighton,28-156,1994,14.6,7,38,17,44.7,03.00,01.16,4.4,4.4
Kostas Tsimikas,gr GRE,DF,Liverpool,26-362,1996,7.7,0,7,2,28.6,01.31,00.26,0.6,0.6
Deniz Undav,de GER,FWMF,Brighton,26-294,1996,4.6,2,18,6,33.3,04.31,01.30,3.1,3.1
Yan Valery,tn TUN,DF,Southampton,24-076,1999,0.5,0,0,0,,00.00,00.00,0.0,0.0
Virgil van Dijk,nl NED,DF,Liverpool,31-305,1991,29.5,3,30,9,30.0,01.02,00.31,2.6,2.6
Raphaël Varane,fr FRA,DF,Manchester Utd,30-014,1993,18.3,0,6,3,50.0,00.33,00.16,0.7,0.7
Jamie Vardy,eng ENG,FW,Leicester City,36-118,1987,18.8,3,25,11,44.0,01.33,00.59,6.5,5.7
Joël Veltman,nl NED,DF,Brighton,31-114,1992,22.8,1,14,4,28.6,01.01,00.18,1.7,1.7
Fabio Vieira,pt POR,MF,Arsenal,22-344,2000,5.3,1,15,2,13.3,03.23,00.38,0.8,0.8
Matías Viña,uy URU,DF,Bournemouth,25-181,1997,3.8,2,8,5,62.5,02.12,01.33,0.8,0.8
Rúben Vinagre,pt POR,DFMF,Everton,24-030,1999,0.3,0,0,0,,00.00,00.00,0.0,0.0
Carlos Vinícius,br BRA,FW,Fulham,28-045,1995,11.5,4,19,11,57.9,02.05,01.36,2.4,2.4
Theo Walcott,eng ENG,FWMF,Southampton,34-054,1989,10.0,2,18,7,38.9,02.20,01.10,2.0,2.0
Kyle Walker,eng ENG,DF,Manchester City,32-346,1990,17.8,0,3,1,33.3,00.17,00.06,0.4,0.4
Kyle Walker-Peters,eng ENG,DF,Southampton,26-026,1997,26.4,1,12,4,33.3,00.45,00.15,1.0,1.0
Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,25-164,1997,12.9,0,8,2,25.0,01.02,00.15,1.0,1.0
Danny Ward,wls WAL,GK,Leicester City,29-321,1993,26.0,0,0,0,,00.00,00.00,0.0,0.0
Joel Ward,eng ENG,DF,Crystal Palace,33-192,1989,22.1,0,5,0,0.0,00.23,00.00,0.1,0.1
James Ward-Prowse,eng ENG,MF,Southampton,28-189,1994,34.5,8,37,14,37.8,01.07,00.41,5.6,2.3
Ollie Watkins,eng ENG,FW,Aston Villa,27-130,1995,31.8,14,81,43,53.1,02.55,01.35,14.2,13.4
Adam Webster,eng ENG,DF,Brighton,28-125,1995,21.3,0,18,2,11.1,01.24,00.09,1.8,1.8
Wout Weghorst,nl NED,FWMF,Manchester Utd,30-275,1992,8.1,0,11,4,36.4,01.36,00.50,1.4,1.4
Danny Welbeck,eng ENG,FW,Brighton,32-164,1990,18.5,6,55,21,38.2,03.37,01.13,8.9,8.9
Ben White,eng ENG,DF,Arsenal,25-213,1997,30.9,2,10,2,20.0,00.32,00.06,1.3,1.3
Harvey White,eng ENG,MF,Tottenham,21-232,2001,0.1,0,0,0,,00.00,00.00,0.0,0.0
Joseph Whitworth,eng ENG,GK,Crystal Palace,19-069,2004,2.0,0,0,0,,00.00,00.00,0.0,0.0
Neco Williams,wls WAL,DF,Nott'ham Forest,22-026,2001,20.9,1,25,7,28.0,01.20,00.33,1.3,1.3
Willian,br BRA,FW,Fulham,34-273,1988,20.8,5,38,15,39.5,02.23,01.12,3.1,3.1
Joe Willock,eng ENG,MF,Newcastle Utd,23-262,1999,26.8,3,56,16,28.6,02.09,01.00,6.9,6.9
Callum Wilson,eng ENG,FW,Newcastle Utd,31-071,1992,18.1,15,59,28,47.5,03.27,01.55,13.5,12.7
Harry Wilson,wls WAL,FW,Fulham,26-048,1997,9.8,2,16,4,25.0,02.04,00.41,1.8,1.8
Yoane Wissa,cd COD,FW,Brentford,26-248,1996,15.0,5,25,11,44.0,02.06,01.13,3.9,3.9
Maximilian Wöber,at AUT,DF,Leeds United,25-094,1998,11.4,0,7,1,14.3,01.01,00.09,0.6,0.6
Chris Wood,nz NZL,FW,Newcastle Utd,31-153,1991,5.0,2,8,3,37.5,02.01,01.01,1.8,1.0
Chris Wood,nz NZL,FW,Nott'ham Forest,31-153,1991,4.1,1,3,1,33.3,01.13,00.24,1.0,1.0
Joe Worrall,eng ENG,DF,Nott'ham Forest,26-119,1997,21.7,1,5,1,20.0,00.23,00.05,0.5,0.5
Granit Xhaka,ch SUI,MF,Arsenal,30-224,1992,31.1,5,36,12,33.3,01.16,00.39,3.6,3.6
Ryan Yates,eng ENG,MF,Nott'ham Forest,25-169,1997,17.5,0,26,5,19.2,01.49,00.29,2.3,2.3
Ashley Young,eng ENG,DF,Aston Villa,37-304,1985,21.2,1,14,3,21.4,01.06,00.14,0.4,0.4
Illia Zabarnyi,ua UKR,DF,Bournemouth,20-250,2002,0.3,0,0,0,,00.00,00.00,0.0,0.0
Wilfried Zaha,ci CIV,FWMF,Crystal Palace,30-180,1992,24.9,7,62,21,33.9,02.49,01.24,6.3,4.6
Denis Zakaria,ch SUI,MF,Chelsea,26-170,1996,4.6,0,2,0,0.0,00.44,00.00,0.2,0.2
Jordan Zemura,zw ZIM,DF,Bournemouth,23-176,1999,16.2,0,4,0,0.0,00.25,00.00,0.4,0.4
Oleksandr Zinchenko,ua UKR,DF,Arsenal,26-145,1996,23.5,1,28,7,25.0,01.19,00.30,1.4,1.4
Hakim Ziyech,ma MAR,FWMF,Chelsea,30-051,1993,7.0,0,14,2,14.3,02.39,00.28,0.6,0.6
Kurt Zouma,fr FRA,DF,West Ham,28-194,1994,21.6,2,19,5,26.3,01.28,00.23,2.2,2.2
Martin Ødegaard,no NOR,MF,Arsenal,24-143,1998,32.1,15,89,31,34.8,03.17,01.37,9.8,9.8
