Player,Nation,Pos,Squad,Age,Born,90s,Shot Creating Actions,SCA90,Goal Creating Actions,GCA90
Naby Keïta,gn GUI,MF,Liverpool,28-088,1995,3.3,12,04.07,0,00.00
Lloyd Kelly,eng ENG,DF,Bournemouth,24-215,1998,19.7,14,01.11,2,00.10
Max Kilman,eng ENG,DF,Wolves,25-351,1997,35.0,21,01.00,2,00.06
Jakub Kiwior,pl POL,DF,Arsenal,23-083,2000,2.2,0,00.00,0,00.00
Mateusz Klich,pl POL,MFFW,Leeds United,32-330,1990,3.1,7,02.26,0,00.00
Robin Koch,de GER,DF,Leeds United,26-296,1996,32.3,11,00.34,2,00.06
Ibrahima Konaté,fr FRA,DF,Liverpool,23-349,1999,15.2,15,01.38,1,00.07
Ezri Konsa,eng ENG,DF,Aston Villa,25-198,1997,33.9,14,00.41,2,00.06
Kalidou Koulibaly,sn SEN,DF,Chelsea,31-323,1991,19.9,21,01.06,3,00.15
Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,33-139,1989,9.3,8,01.26,0,00.00
Mateo Kova?i?,hr CRO,MF,Chelsea,29-003,1994,18.2,61,03.34,3,00.16
Emil Krafth,se SWE,DF,Newcastle Utd,28-280,1994,0.0,0,00.00,0,00.00
Dejan Kulusevski,se SWE,MFFW,Tottenham,23-014,2000,21.1,86,04.08,9,00.43
Layvin Kurzawa,fr FRA,DF,Fulham,30-247,1992,1.5,0,00.00,0,00.00
Adam Lallana,eng ENG,MFFW,Brighton,34-364,1988,8.0,22,03.15,2,00.25
Tariq Lamptey,gh GHA,DF,Brighton,22-221,2000,5.0,14,03.18,0,00.00
Manuel Lanzini,ar ARG,MFFW,West Ham,30-083,1993,1.7,2,01.21,0,00.00
Aymeric Laporte,es ESP,DF,Manchester City,28-347,1994,8.2,16,02.36,0,00.00
Juan Larios,es ESP,DF,Southampton,19-117,2004,1.7,1,00.59,1,00.59
Jamaal Lascelles,eng ENG,DF,Newcastle Utd,29-179,1993,2.4,1,00.41,0,00.00
Roméo Lavia,be BEL,MF,Southampton,19-123,2004,22.1,38,02.12,2,00.09
Dexter Lembikisa,jm JAM,DF,Wolves,19-186,2003,0.3,1,04.31,0,00.00
Mario Lemina,ga GAB,MF,Wolves,29-250,1993,12.4,7,00.56,2,00.16
Clément Lenglet,fr FRA,DF,Tottenham,27-326,1995,19.4,21,01.08,5,00.26
Bernd Leno,de GER,GK,Fulham,31-066,1992,33.0,2,00.06,0,00.00
Jefferson Lerma,co COL,MF,Bournemouth,28-196,1994,33.1,45,01.36,1,00.03
Jamal Lewis,nir NIR,DF,Newcastle Utd,25-104,1998,0.1,0,00.00,0,00.00
Rico Lewis,eng ENG,DFMF,Manchester City,18-169,2004,7.0,20,03.24,0,00.00
Keane Lewis-Potter,eng ENG,FWMF,Brentford,22-076,2001,3.6,8,02.24,2,00.56
Victor Lindelöf,se SWE,DF,Manchester Utd,28-296,1994,11.2,1,00.09,0,00.00
Jesse Lingard,eng ENG,FWMF,Nott'ham Forest,30-145,1992,10.3,25,02.44,2,00.20
Diego Llorente,es ESP,DF,Leeds United,29-266,1993,7.2,6,01.23,1,00.14
Hugo Lloris,fr FRA,GK,Tottenham,36-134,1986,24.5,5,00.20,0,00.00
Renan Lodi,br BRA,DF,Nott'ham Forest,25-031,1998,22.1,24,01.09,2,00.09
Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,27-106,1996,14.9,29,02.34,3,00.20
Sean Longstaff,eng ENG,MF,Newcastle Utd,25-191,1997,27.0,59,02.19,6,00.22
Jamal Lowe,jm JAM,MFFW,Bournemouth,28-292,1994,0.1,0,00.00,0,00.00
Douglas Luiz,br BRA,MF,Aston Villa,25-000,1998,29.6,86,03.31,9,00.30
Saša Luki?,rs SRB,MF,Fulham,26-269,1996,3.7,5,01.35,1,00.27
Lyanco,br BRA,DF,Southampton,26-097,1997,10.1,10,01.39,0,00.00
Alexis Mac Allister,ar ARG,MF,Brighton,24-136,1998,28.2,89,03.15,7,00.25
James Maddison,eng ENG,MFFW,Leicester City,26-167,1996,25.1,132,05.27,13,00.52
Noni Madueke,eng ENG,FW,Chelsea,21-060,2002,4.2,10,02.36,0,00.00
Harry Maguire,eng ENG,DF,Manchester Utd,30-065,1993,7.4,5,01.07,1,00.13
Riyad Mahrez,dz ALG,FWMF,Manchester City,32-077,1991,17.5,98,05.59,19,01.08
Kobbie Mainoo,eng ENG,MF,Manchester Utd,18-020,2005,0.1,2,16.36,0,00.00
Ainsley Maitland-Niles,eng ENG,DFMF,Southampton,25-253,1997,14.7,24,02.03,2,00.14
Tyrell Malacia,nl NED,DF,Manchester Utd,23-265,1999,14.0,14,01.00,0,00.00
Orel Mangala,be BEL,MF,Nott'ham Forest,25-052,1998,14.4,11,01.16,0,00.00
Javier Manquillo,es ESP,DF,Newcastle Utd,29-004,1994,0.4,1,02.50,1,02.50
Sekou Mara,fr FRA,FWMF,Southampton,20-283,2002,5.8,12,02.06,3,00.51
Solly March,eng ENG,FWDF,Brighton,28-293,1994,30.2,140,05.04,14,00.46
Emiliano Marcondes,dk DEN,MF,Bournemouth,28-061,1995,0.1,0,00.00,0,00.00
Marquinhos,br BRA,MF,Arsenal,20-032,2003,0.0,0,00.00,0,00.00
Anthony Martial,fr FRA,FW,Manchester Utd,27-155,1995,8.5,22,03.01,5,00.59
Martinelli,br BRA,FW,Arsenal,21-325,2001,30.8,127,04.12,17,00.55
Emiliano Martínez,ar ARG,GK,Aston Villa,30-249,1992,31.9,5,00.16,0,00.00
Lisandro Martínez,ar ARG,DF,Manchester Utd,25-111,1998,23.5,18,01.17,1,00.04
Pape Matar Sarr,sn SEN,MF,Tottenham,20-237,2002,2.2,2,01.33,0,00.00
Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,25-315,1997,8.2,7,01.26,1,00.12
Joël Matip,cm CMR,DF,Liverpool,31-274,1991,11.1,15,01.35,0,00.00
Neal Maupay,fr FRA,FW,Everton,26-268,1996,11.8,18,01.52,1,00.08
Kevin Mbabu,ch SUI,DFFW,Fulham,28-020,1995,1.6,3,02.27,1,01.02
Bryan Mbeumo,cm CMR,FW,Brentford,23-275,1999,29.3,87,03.37,13,00.44
James McArthur,sct SCO,MF,Crystal Palace,35-214,1987,0.2,0,00.00,0,00.00
Alex McCarthy,eng ENG,GK,Southampton,33-157,1989,3.0,0,00.00,0,00.00
John McGinn,sct SCO,MFFW,Aston Villa,28-203,1994,26.9,75,03.19,10,00.37
Scott McKenna,sct SCO,DF,Nott'ham Forest,26-178,1996,17.5,10,00.57,1,00.06
Weston McKennie,us USA,MF,Leeds United,24-254,1998,13.4,23,02.12,2,00.15
Dwight McNeil,eng ENG,FWMF,Everton,23-168,1999,24.8,94,04.20,11,00.44
