Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Cmp - short,Att - short,Cmp% - short,Cmp - medium,Att - medium,Cmp% - medium,Cmp - long,Att - long,Cmp% - long,Ast,xAG,xA,Key Passes,Passes Into Final 3rd,Passes Into Penalty Area,Crs Into Penalty Area,Prg
82,Fabio Carvalho,pt POR,MFFW,Liverpool,20-245,2002,3.8,114,70,81,86.4,30,37,81.1,5,6,83.3,0,0.1,0.2,1,7,2,0,11
83,Casemiro,br BRA,MF,Manchester Utd,31-068,1992,17.9,840,374,449,83.3,346,417,83.0,101,166,60.8,3,2.4,3.3,20,100,20,4,107
84,Matty Cash,pl POL,DF,Aston Villa,25-268,1997,18.2,733,327,364,89.8,339,411,82.5,57,125,45.6,1,0.7,0.9,8,55,15,9,74
85,Timothy Castagne,be BEL,DF,Leicester City,27-148,1995,32.2,1362,837,937,89.3,429,533,80.5,56,116,48.3,3,2.6,2.1,22,83,18,9,102
86,Jonny Castro,es ESP,DF,Wolves,29-060,1994,14.0,701,382,419,91.2,264,305,86.6,44,62,71.0,0,1.0,0.8,5,60,10,2,70
87,Julio César Enciso,py PAR,FWMF,Brighton,19-099,2004,4.4,101,69,87,79.3,29,38,76.3,1,5,20.0,2,1.0,0.8,7,9,5,0,16
88,Nathaniel Chalobah,eng ENG,MF,Fulham,28-141,1994,0.1,4,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,1,0,0,0
89,Trevoh Chalobah,eng ENG,DF,Chelsea,23-301,1999,13.3,746,289,322,89.8,398,429,92.8,53,73,72.6,0,0.2,0.3,2,42,2,1,45
90,Calum Chambers,eng ENG,DFMF,Aston Villa,28-102,1995,3.9,157,66,76,86.8,77,94,81.9,14,31,45.2,0,0.3,0.2,2,9,2,1,16
91,Ben Chilwell,eng ENG,DFMF,Chelsea,26-132,1996,13.8,700,437,470,93.0,198,253,78.3,39,112,34.8,2,2.2,2.2,21,40,8,5,38
92,Ryan Christie,sct SCO,MFFW,Bournemouth,28-069,1995,17.4,439,231,273,84.6,153,171,89.5,39,69,56.5,0,2.0,1.8,24,38,17,2,62
93,Carney Chukwuemeka,eng ENG,MFFW,Chelsea,19-194,2003,2.6,98,70,82,85.4,15,19,78.9,5,5,100.0,0,0.1,0.1,3,6,4,2,12
94,Bobby Clark,eng ENG,MF,Liverpool,18-084,2005,0.1,1,0,0,,1,1,100.0,0,0,,0,0.0,0.1,0,0,1,0,1
95,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32-027,1991,18.2,654,341,386,88.3,283,346,81.8,24,73,32.9,0,0.7,0.6,7,51,6,5,52
96,Conor Coady,eng ENG,DF,Everton,30-066,1993,21.9,972,268,286,93.7,548,588,93.2,148,257,57.6,1,0.3,0.5,4,71,3,1,40
97,Jack Colback,eng ENG,MF,Nott'ham Forest,33-190,1989,5.5,119,61,71,85.9,48,55,87.3,8,11,72.7,0,0.2,0.2,2,12,3,1,16
98,Séamus Coleman,ie IRL,DF,Everton,34-203,1988,18.4,597,306,350,87.4,237,299,79.3,42,99,42.4,0,0.9,0.9,4,35,18,7,61
99,Nathan Collins,ie IRL,DF,Wolves,22-002,2001,18.1,917,270,297,90.9,520,555,93.7,110,158,69.6,0,0.1,0.2,2,65,2,0,60
100,Levi Colwill,eng ENG,DF,Brighton,20-065,2003,8.9,691,283,308,91.9,348,379,91.8,50,65,76.9,0,0.1,0.2,2,51,3,0,47
101,Lewis Cook,eng ENG,MF,Bournemouth,26-088,1997,17.6,539,262,299,87.6,216,250,86.4,46,85,54.1,2,2.5,2.2,24,53,12,9,58
102,Steve Cook,eng ENG,DF,Nott'ham Forest,32-013,1991,10.6,369,80,99,80.8,234,261,89.7,51,91,56.0,0,0.6,0.6,3,18,2,1,19
103,Liam Cooper,sct SCO,DF,Leeds United,31-245,1991,14.8,572,222,253,87.7,293,348,84.2,49,108,45.4,0,0.7,0.3,5,45,1,1,40
104,Maxwel Cornet,ci CIV,FW,West Ham,26-217,1996,1.9,44,28,34,82.4,13,17,76.5,1,1,100.0,0,0.1,0.1,1,2,1,1,4
105,Diego Costa,es ESP,FW,Wolves,34-207,1988,11.8,129,75,96,78.1,37,46,80.4,1,3,33.3,0,0.5,0.6,9,8,4,0,13
106,Vladimír Coufal,cz CZE,DF,West Ham,30-253,1992,21.1,634,299,363,82.4,245,387,63.3,72,202,35.6,1,2.0,1.6,21,64,17,12,79
107,Philippe Coutinho,br BRA,MFFW,Aston Villa,30-324,1992,8.8,288,180,210,85.7,82,112,73.2,17,36,47.2,0,0.5,0.8,8,30,8,2,48
108,Conor Coventry,ie IRL,MFFW,West Ham,23-038,2000,0.0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
109,Aaron Cresswell,eng ENG,DF,West Ham,33-138,1989,22.1,1010,558,597,93.5,345,446,77.4,94,192,49.0,1,3.6,2.8,39,81,27,14,136
110,Marc Cucurella,es ESP,DF,Chelsea,24-284,1998,18.6,1090,600,647,92.7,396,453,87.4,59,110,53.6,2,0.6,0.9,11,77,12,6,73
111,Matheus Cunha,br BRA,FW,Wolves,23-340,1999,9.3,151,95,115,82.6,32,45,71.1,7,14,50.0,0,0.5,0.2,6,5,2,0,13
112,Patson Daka,zm ZAM,FW,Leicester City,24-205,1998,12.4,177,107,142,75.4,52,77,67.5,5,9,55.6,3,2.6,1.3,16,7,8,1,17
113,Diogo Dalot,pt POR,DF,Manchester Utd,24-045,1999,21.9,1064,430,483,89.0,508,599,84.8,110,199,55.3,2,1.9,1.5,29,79,28,13,89
114,Mikkel Damsgaard,dk DEN,MFFW,Brentford,22-303,2000,8.8,220,126,153,82.4,71,105,67.6,13,36,36.1,0,1.0,1.0,10,31,8,1,33
115,Danilo,br BRA,MF,Nott'ham Forest,22-003,2001,8.1,124,63,77,81.8,46,60,76.7,14,31,45.2,1,0.5,0.3,6,19,6,0,33
116,Arnaut Danjuma,nl NED,FWMF,Tottenham,26-091,1997,1.0,15,10,15,66.7,3,5,60.0,2,2,100.0,0,0.0,0.0,1,0,2,2,0
117,Josh Dasilva,eng ENG,MF,Brentford,24-191,1998,14.8,471,241,275,87.6,184,211,87.2,37,66,56.1,2,1.5,1.5,12,33,23,5,60
118,Ben Davies,wls WAL,DF,Tottenham,30-008,1993,21.5,903,439,487,90.1,380,439,86.6,62,116,53.4,2,2.3,1.3,17,68,6,3,97
119,Tom Davies,eng ENG,MF,Everton,24-306,1998,6.0,173,87,111,78.4,64,76,84.2,16,29,55.2,0,0.2,0.3,2,25,2,0,30
120,Craig Dawson,eng ENG,DF,West Ham,32-361,1990,8.0,245,74,86,86.0,121,137,88.3,48,79,60.8,0,0.1,0.1,1,25,0,0,18
121,Craig Dawson,eng ENG,DF,Wolves,32-361,1990,12.7,648,185,205,90.2,361,392,92.1,95,153,62.1,0,0.0,0.1,1,46,1,0,37
122,Kevin De Bruyne,be BEL,MF,Manchester City,31-308,1991,25.1,1073,483,573,84.3,431,573,75.2,144,254,56.7,16,13.3,13.4,90,115,88,19,226
123,Siriki Dembélé,ci CIV,FWMF,Bournemouth,26-237,1996,1.2,37,22,29,75.9,10,13,76.9,2,2,100.0,0,0.3,0.2,4,2,3,2,4
124,Leander Dendoncker,be BEL,MF,Aston Villa,28-017,1995,7.7,247,119,128,93.0,110,120,91.7,11,16,68.8,0,0.5,0.1,5,16,0,0,17
125,Leander Dendoncker,be BEL,MF,Wolves,28-017,1995,2.4,86,45,50,90.0,32,32,100.0,8,8,100.0,0,0.0,0.0,2,4,1,1,6
126,Emmanuel Dennis,ng NGA,FWMF,Nott'ham Forest,25-168,1997,7.8,120,71,90,78.9,37,55,67.3,8,11,72.7,2,0.6,0.4,7,7,4,2,16
127,Halil Dervişoğlu,tr TUR,MF,Brentford,23-145,1999,0.1,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
128,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,24-238,1998,24.7,827,420,495,84.8,300,377,79.6,81,156,51.9,2,3.1,2.5,38,108,22,4,125
129,Ibrahima Diallo,fr FRA,MF,Southampton,24-055,1999,9.1,317,181,206,87.9,112,139,80.6,16,34,47.1,0,0.1,0.1,4,24,2,0,28
130,Rúben Dias,pt POR,DF,Manchester City,25-353,1997,20.2,1699,605,633,95.6,950,997,95.3,130,186,69.9,0,0.6,0.3,3,116,0,0,86
131,Luis Díaz,co COL,FW,Liverpool,26-109,1997,8.1,274,157,187,84.0,94,109,86.2,16,18,88.9,2,1.1,1.0,8,21,7,1,36
